typeId,typeName,date,level
1,Ozone,2016-01-01,47
1,Ozone,2016-01-02,50
1,Ozone,2016-01-03,65
1,Ozone,2016-01-04,53
1,Ozone,2016-01-05,27
1,Ozone,2016-01-06,24
1,Ozone,2016-01-07,54
1,Ozone,2016-01-08,43
1,Ozone,2016-01-09,65
1,Ozone,2016-01-10,65
1,Ozone,2016-01-11,33
1,Ozone,2016-01-12,55
1,Ozone,2016-01-13,46
1,Ozone,2016-01-14,42
1,Ozone,2016-01-15,44
1,Ozone,2016-01-16,10
1,Ozone,2016-01-17,17
1,Ozone,2016-01-18,49
1,Ozone,2016-01-19,12
1,Ozone,2016-01-20,4
1,Ozone,2016-01-21,25
1,Ozone,2016-01-22,53
1,Ozone,2016-01-23,50
1,Ozone,2016-01-24,31
1,Ozone,2016-01-25,53
1,Ozone,2016-01-26,72
1,Ozone,2016-01-27,65
1,Ozone,2016-01-28,47
1,Ozone,2016-01-29,74
1,Ozone,2016-01-30,68
1,Ozone,2016-01-31,73
1,Ozone,2016-02-01,88
1,Ozone,2016-02-02,70
1,Ozone,2016-02-03,0
1,Ozone,2016-02-04,0
1,Ozone,2016-02-05,57
1,Ozone,2016-02-06,64
1,Ozone,2016-02-07,65
1,Ozone,2016-02-08,75
1,Ozone,2016-02-09,54
1,Ozone,2016-02-10,37
1,Ozone,2016-02-11,17
1,Ozone,2016-02-12,36
1,Ozone,2016-02-13,31
1,Ozone,2016-02-14,47
1,Ozone,2016-02-15,37
1,Ozone,2016-02-16,32
1,Ozone,2016-02-17,48
1,Ozone,2016-02-18,31
1,Ozone,2016-02-19,41
1,Ozone,2016-02-20,70
1,Ozone,2016-02-21,74
1,Ozone,2016-02-22,49
1,Ozone,2016-02-23,28
1,Ozone,2016-02-24,33
1,Ozone,2016-02-25,30
1,Ozone,2016-02-26,29
1,Ozone,2016-02-27,40
1,Ozone,2016-02-28,49
1,Ozone,2016-02-29,39
1,Ozone,2016-03-01,61
1,Ozone,2016-03-02,64
1,Ozone,2016-03-03,58
1,Ozone,2016-03-04,45
1,Ozone,2016-03-05,50
1,Ozone,2016-03-06,47
1,Ozone,2016-03-07,37
1,Ozone,2016-03-08,27
1,Ozone,2016-03-09,63
1,Ozone,2016-03-10,40
1,Ozone,2016-03-11,16
1,Ozone,2016-03-12,16
1,Ozone,2016-03-13,40
1,Ozone,2016-03-14,53
1,Ozone,2016-03-15,43
1,Ozone,2016-03-16,48
1,Ozone,2016-03-17,44
1,Ozone,2016-03-18,19
1,Ozone,2016-03-19,60
1,Ozone,2016-03-20,53
1,Ozone,2016-03-21,36
1,Ozone,2016-03-22,37
1,Ozone,2016-03-23,36
1,Ozone,2016-03-24,48
1,Ozone,2016-03-25,59
1,Ozone,2016-03-26,66
1,Ozone,2016-03-27,66
1,Ozone,2016-03-28,67
1,Ozone,2016-03-29,64
1,Ozone,2016-03-30,48
1,Ozone,2016-03-31,35
1,Ozone,2016-04-01,44
1,Ozone,2016-04-02,69
1,Ozone,2016-04-03,56
1,Ozone,2016-04-04,51
1,Ozone,2016-04-05,53
1,Ozone,2016-04-06,71
1,Ozone,2016-04-07,53
1,Ozone,2016-04-08,52
1,Ozone,2016-04-09,60
1,Ozone,2016-04-10,70
1,Ozone,2016-04-11,28
1,Ozone,2016-04-12,34
1,Ozone,2016-04-13,35
1,Ozone,2016-04-14,60
1,Ozone,2016-04-15,56
1,Ozone,2016-04-16,56
1,Ozone,2016-04-17,59
1,Ozone,2016-04-18,54
1,Ozone,2016-04-19,58
1,Ozone,2016-04-20,55
1,Ozone,2016-04-21,48
1,Ozone,2016-04-22,50
1,Ozone,2016-04-23,63
1,Ozone,2016-04-24,70
1,Ozone,2016-04-25,69
1,Ozone,2016-04-26,69
1,Ozone,2016-04-27,55
1,Ozone,2016-04-28,52
1,Ozone,2016-04-29,60
1,Ozone,2016-04-30,57
1,Ozone,2016-05-01,40
1,Ozone,2016-05-02,54
1,Ozone,2016-05-03,58
1,Ozone,2016-05-04,54
1,Ozone,2016-05-05,73
1,Ozone,2016-05-06,62
1,Ozone,2016-05-07,71
1,Ozone,2016-05-08,87
1,Ozone,2016-05-09,64
1,Ozone,2016-05-10,27
1,Ozone,2016-05-11,26
1,Ozone,2016-05-12,76
1,Ozone,2016-05-13,77
1,Ozone,2016-05-14,75
1,Ozone,2016-05-15,60
1,Ozone,2016-05-16,70
1,Ozone,2016-05-17,63
1,Ozone,2016-05-18,66
1,Ozone,2016-05-19,48
1,Ozone,2016-05-20,63
1,Ozone,2016-05-21,54
1,Ozone,2016-05-22,50
1,Ozone,2016-05-23,44
1,Ozone,2016-05-24,57
1,Ozone,2016-05-25,53
1,Ozone,2016-05-26,57
1,Ozone,2016-05-27,57
1,Ozone,2016-05-28,79
1,Ozone,2016-05-29,79
1,Ozone,2016-05-30,64
1,Ozone,2016-05-31,77
1,Ozone,2016-06-01,64
1,Ozone,2016-06-02,67
1,Ozone,2016-06-03,61
1,Ozone,2016-06-04,41
1,Ozone,2016-06-05,77
1,Ozone,2016-06-06,67
1,Ozone,2016-06-07,62
1,Ozone,2016-06-08,62
1,Ozone,2016-06-09,55
1,Ozone,2016-06-10,67
1,Ozone,2016-06-11,64
1,Ozone,2016-06-12,51
1,Ozone,2016-06-13,47
1,Ozone,2016-06-14,45
1,Ozone,2016-06-15,35
1,Ozone,2016-06-16,47
1,Ozone,2016-06-17,42
1,Ozone,2016-06-18,53
1,Ozone,2016-06-19,29
1,Ozone,2016-06-20,31
1,Ozone,2016-06-21,43
1,Ozone,2016-06-22,38
1,Ozone,2016-06-23,36
1,Ozone,2016-06-24,46
1,Ozone,2016-06-25,42
1,Ozone,2016-06-26,35
1,Ozone,2016-06-27,45
1,Ozone,2016-06-28,39
1,Ozone,2016-06-29,42
1,Ozone,2016-06-30,39
1,Ozone,2016-07-01,52
1,Ozone,2016-07-02,44
1,Ozone,2016-07-03,39
1,Ozone,2016-07-04,28
1,Ozone,2016-07-05,52
1,Ozone,2016-07-06,50
1,Ozone,2016-07-07,38
1,Ozone,2016-07-08,41
1,Ozone,2016-07-09,24
1,Ozone,2016-07-10,43
1,Ozone,2016-07-11,54
1,Ozone,2016-07-12,42
1,Ozone,2016-07-13,36
1,Ozone,2016-07-14,44
1,Ozone,2016-07-15,39
1,Ozone,2016-07-16,44
1,Ozone,2016-07-17,33
1,Ozone,2016-07-18,27
1,Ozone,2016-07-19,70
1,Ozone,2016-07-20,57
1,Ozone,2016-07-21,36
1,Ozone,2016-07-22,31
1,Ozone,2016-07-23,39
1,Ozone,2016-07-24,39
1,Ozone,2016-07-25,34
1,Ozone,2016-07-26,35
1,Ozone,2016-07-27,36
1,Ozone,2016-07-28,30
1,Ozone,2016-07-29,36
1,Ozone,2016-07-30,39
1,Ozone,2016-07-31,43
1,Ozone,2016-08-01,0
1,Ozone,2016-08-02,0
1,Ozone,2016-08-03,45
1,Ozone,2016-08-04,52
1,Ozone,2016-08-05,36
1,Ozone,2016-08-06,28
1,Ozone,2016-08-07,53
1,Ozone,2016-08-08,49
1,Ozone,2016-08-09,51
1,Ozone,2016-08-10,41
1,Ozone,2016-08-11,42
1,Ozone,2016-08-12,46
1,Ozone,2016-08-13,42
1,Ozone,2016-08-14,31
1,Ozone,2016-08-15,55
1,Ozone,2016-08-16,67
1,Ozone,2016-08-17,72
1,Ozone,2016-08-18,79
1,Ozone,2016-08-19,57
1,Ozone,2016-08-20,66
1,Ozone,2016-08-21,55
1,Ozone,2016-08-22,38
1,Ozone,2016-08-23,56
1,Ozone,2016-08-24,43
1,Ozone,2016-08-25,26
1,Ozone,2016-08-26,34
1,Ozone,2016-08-27,27
1,Ozone,2016-08-28,46
1,Ozone,2016-08-29,54
1,Ozone,2016-08-30,39
1,Ozone,2016-08-31,41
1,Ozone,2016-09-01,38
1,Ozone,2016-09-02,38
1,Ozone,2016-09-03,30
1,Ozone,2016-09-04,51
1,Ozone,2016-09-05,29
1,Ozone,2016-09-06,18
1,Ozone,2016-09-07,0
1,Ozone,2016-09-08,0
1,Ozone,2016-09-09,43
1,Ozone,2016-09-10,36
1,Ozone,2016-09-11,41
1,Ozone,2016-09-12,37
1,Ozone,2016-09-13,23
1,Ozone,2016-09-14,49
1,Ozone,2016-09-15,26
1,Ozone,2016-09-16,39
1,Ozone,2016-09-17,28
1,Ozone,2016-09-18,35
1,Ozone,2016-09-19,30
1,Ozone,2016-09-20,23
1,Ozone,2016-09-21,34
1,Ozone,2016-09-22,44
1,Ozone,2016-09-23,43
1,Ozone,2016-09-24,59
1,Ozone,2016-09-25,61
1,Ozone,2016-09-26,43
1,Ozone,2016-09-27,42
1,Ozone,2016-09-28,38
1,Ozone,2016-09-29,46
1,Ozone,2016-09-30,40
1,Ozone,2016-10-01,44
1,Ozone,2016-10-02,31
1,Ozone,2016-10-03,31
1,Ozone,2016-10-04,34
1,Ozone,2016-10-05,39
1,Ozone,2016-10-06,37
1,Ozone,2016-10-07,22
1,Ozone,2016-10-08,35
1,Ozone,2016-10-09,42
1,Ozone,2016-10-10,25
1,Ozone,2016-10-11,24
1,Ozone,2016-10-12,31
1,Ozone,2016-10-13,19
1,Ozone,2016-10-14,9
1,Ozone,2016-10-15,35
1,Ozone,2016-10-16,62
1,Ozone,2016-10-17,56
1,Ozone,2016-10-18,48
1,Ozone,2016-10-19,27
1,Ozone,2016-10-20,18
1,Ozone,2016-10-21,8
1,Ozone,2016-10-22,15
1,Ozone,2016-10-23,39
1,Ozone,2016-10-24,16
1,Ozone,2016-10-25,8
1,Ozone,2016-10-26,17
1,Ozone,2016-10-27,39
1,Ozone,2016-10-28,45
1,Ozone,2016-10-29,22
1,Ozone,2016-10-30,25
1,Ozone,2016-10-31,0
1,Ozone,2016-11-01,0
1,Ozone,2016-11-02,0
1,Ozone,2016-11-03,10
1,Ozone,2016-11-04,16
1,Ozone,2016-11-05,23
1,Ozone,2016-11-06,31
1,Ozone,2016-11-07,28
1,Ozone,2016-11-08,24
1,Ozone,2016-11-09,41
1,Ozone,2016-11-10,33
1,Ozone,2016-11-11,25
1,Ozone,2016-11-12,36
1,Ozone,2016-11-13,25
1,Ozone,2016-11-14,45
1,Ozone,2016-11-15,40
1,Ozone,2016-11-16,43
1,Ozone,2016-11-17,49
1,Ozone,2016-11-18,21
1,Ozone,2016-11-19,21
1,Ozone,2016-11-20,39
1,Ozone,2016-11-21,26
1,Ozone,2016-11-22,18
1,Ozone,2016-11-23,26
1,Ozone,2016-11-24,51
1,Ozone,2016-11-25,47
1,Ozone,2016-11-26,36
1,Ozone,2016-11-27,34
1,Ozone,2016-11-28,34
1,Ozone,2016-11-29,15
1,Ozone,2016-11-30,3
1,Ozone,2016-12-01,2
1,Ozone,2016-12-02,1
1,Ozone,2016-12-03,25
1,Ozone,2016-12-04,29
1,Ozone,2016-12-05,6
1,Ozone,2016-12-06,6
1,Ozone,2016-12-07,21
1,Ozone,2016-12-08,29
1,Ozone,2016-12-09,23
1,Ozone,2016-12-10,28
1,Ozone,2016-12-11,16
1,Ozone,2016-12-12,17
1,Ozone,2016-12-13,24
1,Ozone,2016-12-14,27
1,Ozone,2016-12-15,28
1,Ozone,2016-12-16,18
1,Ozone,2016-12-17,2
1,Ozone,2016-12-18,5
1,Ozone,2016-12-19,2
1,Ozone,2016-12-20,11
1,Ozone,2016-12-21,32
1,Ozone,2016-12-22,13
1,Ozone,2016-12-23,53
1,Ozone,2016-12-24,70
1,Ozone,2016-12-25,72
1,Ozone,2016-12-26,47
1,Ozone,2016-12-27,5
1,Ozone,2016-12-28,8
1,Ozone,2016-12-29,2
1,Ozone,2016-12-30,2
1,Ozone,2016-12-31,21
2,Nitric Oxide,2016-01-01,8
2,Nitric Oxide,2016-01-02,3
2,Nitric Oxide,2016-01-03,2
2,Nitric Oxide,2016-01-04,4
2,Nitric Oxide,2016-01-05,12
2,Nitric Oxide,2016-01-06,15
2,Nitric Oxide,2016-01-07,6
2,Nitric Oxide,2016-01-08,5
2,Nitric Oxide,2016-01-09,2
2,Nitric Oxide,2016-01-10,2
2,Nitric Oxide,2016-01-11,24
2,Nitric Oxide,2016-01-12,3
2,Nitric Oxide,2016-01-13,7
2,Nitric Oxide,2016-01-14,6
2,Nitric Oxide,2016-01-15,5
2,Nitric Oxide,2016-01-16,47
2,Nitric Oxide,2016-01-17,34
2,Nitric Oxide,2016-01-18,4
2,Nitric Oxide,2016-01-19,41
2,Nitric Oxide,2016-01-20,56
2,Nitric Oxide,2016-01-21,13
2,Nitric Oxide,2016-01-22,4
2,Nitric Oxide,2016-01-23,4
2,Nitric Oxide,2016-01-24,3
2,Nitric Oxide,2016-01-25,4
2,Nitric Oxide,2016-01-26,2
2,Nitric Oxide,2016-01-27,3
2,Nitric Oxide,2016-01-28,13
2,Nitric Oxide,2016-01-29,4
2,Nitric Oxide,2016-01-30,3
2,Nitric Oxide,2016-01-31,1
2,Nitric Oxide,2016-02-01,2
2,Nitric Oxide,2016-02-02,3
2,Nitric Oxide,2016-02-03,0
2,Nitric Oxide,2016-02-04,0
2,Nitric Oxide,2016-02-05,2
2,Nitric Oxide,2016-02-06,1
2,Nitric Oxide,2016-02-07,2
2,Nitric Oxide,2016-02-08,2
2,Nitric Oxide,2016-02-09,9
2,Nitric Oxide,2016-02-10,10
2,Nitric Oxide,2016-02-11,29
2,Nitric Oxide,2016-02-12,6
2,Nitric Oxide,2016-02-13,4
2,Nitric Oxide,2016-02-14,2
2,Nitric Oxide,2016-02-15,11
2,Nitric Oxide,2016-02-16,25
2,Nitric Oxide,2016-02-17,3
2,Nitric Oxide,2016-02-18,20
2,Nitric Oxide,2016-02-19,10
2,Nitric Oxide,2016-02-20,1
2,Nitric Oxide,2016-02-21,1
2,Nitric Oxide,2016-02-22,4
2,Nitric Oxide,2016-02-23,11
2,Nitric Oxide,2016-02-24,9
2,Nitric Oxide,2016-02-25,16
2,Nitric Oxide,2016-02-26,14
2,Nitric Oxide,2016-02-27,3
2,Nitric Oxide,2016-02-28,2
2,Nitric Oxide,2016-02-29,8
2,Nitric Oxide,2016-03-01,2
2,Nitric Oxide,2016-03-02,2
2,Nitric Oxide,2016-03-03,2
2,Nitric Oxide,2016-03-04,5
2,Nitric Oxide,2016-03-05,2
2,Nitric Oxide,2016-03-06,2
2,Nitric Oxide,2016-03-07,8
2,Nitric Oxide,2016-03-08,16
2,Nitric Oxide,2016-03-09,3
2,Nitric Oxide,2016-03-10,11
2,Nitric Oxide,2016-03-11,45
2,Nitric Oxide,2016-03-12,23
2,Nitric Oxide,2016-03-13,3
2,Nitric Oxide,2016-03-14,3
2,Nitric Oxide,2016-03-15,5
2,Nitric Oxide,2016-03-16,3
2,Nitric Oxide,2016-03-17,4
2,Nitric Oxide,2016-03-18,17
2,Nitric Oxide,2016-03-19,2
2,Nitric Oxide,2016-03-20,3
2,Nitric Oxide,2016-03-21,9
2,Nitric Oxide,2016-03-22,6
2,Nitric Oxide,2016-03-23,9
2,Nitric Oxide,2016-03-24,5
2,Nitric Oxide,2016-03-25,2
2,Nitric Oxide,2016-03-26,1
2,Nitric Oxide,2016-03-27,1
2,Nitric Oxide,2016-03-28,1
2,Nitric Oxide,2016-03-29,2
2,Nitric Oxide,2016-03-30,4
2,Nitric Oxide,2016-03-31,8
2,Nitric Oxide,2016-04-01,6
2,Nitric Oxide,2016-04-02,1
2,Nitric Oxide,2016-04-03,1
2,Nitric Oxide,2016-04-04,3
2,Nitric Oxide,2016-04-05,5
2,Nitric Oxide,2016-04-06,2
2,Nitric Oxide,2016-04-07,2
2,Nitric Oxide,2016-04-08,3
2,Nitric Oxide,2016-04-09,4
2,Nitric Oxide,2016-04-10,1
2,Nitric Oxide,2016-04-11,11
2,Nitric Oxide,2016-04-12,11
2,Nitric Oxide,2016-04-13,16
2,Nitric Oxide,2016-04-14,3
2,Nitric Oxide,2016-04-15,3
2,Nitric Oxide,2016-04-16,2
2,Nitric Oxide,2016-04-17,2
2,Nitric Oxide,2016-04-18,10
2,Nitric Oxide,2016-04-19,3
2,Nitric Oxide,2016-04-20,4
2,Nitric Oxide,2016-04-21,4
2,Nitric Oxide,2016-04-22,3
2,Nitric Oxide,2016-04-23,2
2,Nitric Oxide,2016-04-24,1
2,Nitric Oxide,2016-04-25,2
2,Nitric Oxide,2016-04-26,3
2,Nitric Oxide,2016-04-27,4
2,Nitric Oxide,2016-04-28,7
2,Nitric Oxide,2016-04-29,3
2,Nitric Oxide,2016-04-30,1
2,Nitric Oxide,2016-05-01,6
2,Nitric Oxide,2016-05-02,2
2,Nitric Oxide,2016-05-03,3
2,Nitric Oxide,2016-05-04,13
2,Nitric Oxide,2016-05-05,5
2,Nitric Oxide,2016-05-06,4
2,Nitric Oxide,2016-05-07,2
2,Nitric Oxide,2016-05-08,1
2,Nitric Oxide,2016-05-09,2
2,Nitric Oxide,2016-05-10,6
2,Nitric Oxide,2016-05-11,5
2,Nitric Oxide,2016-05-12,2
2,Nitric Oxide,2016-05-13,2
2,Nitric Oxide,2016-05-14,1
2,Nitric Oxide,2016-05-15,2
2,Nitric Oxide,2016-05-16,3
2,Nitric Oxide,2016-05-17,3
2,Nitric Oxide,2016-05-18,2
2,Nitric Oxide,2016-05-19,3
2,Nitric Oxide,2016-05-20,2
2,Nitric Oxide,2016-05-21,2
2,Nitric Oxide,2016-05-22,3
2,Nitric Oxide,2016-05-23,4
2,Nitric Oxide,2016-05-24,2
2,Nitric Oxide,2016-05-25,3
2,Nitric Oxide,2016-05-26,3
2,Nitric Oxide,2016-05-27,4
2,Nitric Oxide,2016-05-28,2
2,Nitric Oxide,2016-05-29,1
2,Nitric Oxide,2016-05-30,2
2,Nitric Oxide,2016-05-31,1
2,Nitric Oxide,2016-06-01,1
2,Nitric Oxide,2016-06-02,2
2,Nitric Oxide,2016-06-03,3
2,Nitric Oxide,2016-06-04,4
2,Nitric Oxide,2016-06-05,1
2,Nitric Oxide,2016-06-06,3
2,Nitric Oxide,2016-06-07,2
2,Nitric Oxide,2016-06-08,3
2,Nitric Oxide,2016-06-09,3
2,Nitric Oxide,2016-06-10,2
2,Nitric Oxide,2016-06-11,2
2,Nitric Oxide,2016-06-12,1
2,Nitric Oxide,2016-06-13,3
2,Nitric Oxide,2016-06-14,3
2,Nitric Oxide,2016-06-15,5
2,Nitric Oxide,2016-06-16,3
2,Nitric Oxide,2016-06-17,4
2,Nitric Oxide,2016-06-18,2
2,Nitric Oxide,2016-06-19,4
2,Nitric Oxide,2016-06-20,4
2,Nitric Oxide,2016-06-21,3
2,Nitric Oxide,2016-06-22,4
2,Nitric Oxide,2016-06-23,4
2,Nitric Oxide,2016-06-24,3
2,Nitric Oxide,2016-06-25,3
2,Nitric Oxide,2016-06-26,2
2,Nitric Oxide,2016-06-27,3
2,Nitric Oxide,2016-06-28,4
2,Nitric Oxide,2016-06-29,3
2,Nitric Oxide,2016-06-30,6
2,Nitric Oxide,2016-07-01,2
2,Nitric Oxide,2016-07-02,3
2,Nitric Oxide,2016-07-03,3
2,Nitric Oxide,2016-07-04,4
2,Nitric Oxide,2016-07-05,2
2,Nitric Oxide,2016-07-06,3
2,Nitric Oxide,2016-07-07,3
2,Nitric Oxide,2016-07-08,2
2,Nitric Oxide,2016-07-09,4
2,Nitric Oxide,2016-07-10,1
2,Nitric Oxide,2016-07-11,2
2,Nitric Oxide,2016-07-12,3
2,Nitric Oxide,2016-07-13,3
2,Nitric Oxide,2016-07-14,3
2,Nitric Oxide,2016-07-15,3
2,Nitric Oxide,2016-07-16,2
2,Nitric Oxide,2016-07-17,2
2,Nitric Oxide,2016-07-18,9
2,Nitric Oxide,2016-07-19,2
2,Nitric Oxide,2016-07-20,2
2,Nitric Oxide,2016-07-21,3
2,Nitric Oxide,2016-07-22,7
2,Nitric Oxide,2016-07-23,2
2,Nitric Oxide,2016-07-24,1
2,Nitric Oxide,2016-07-25,3
2,Nitric Oxide,2016-07-26,3
2,Nitric Oxide,2016-07-27,4
2,Nitric Oxide,2016-07-28,5
2,Nitric Oxide,2016-07-29,3
2,Nitric Oxide,2016-07-30,3
2,Nitric Oxide,2016-07-31,2
2,Nitric Oxide,2016-08-01,0
2,Nitric Oxide,2016-08-02,0
2,Nitric Oxide,2016-08-03,1
2,Nitric Oxide,2016-08-04,2
2,Nitric Oxide,2016-08-05,4
2,Nitric Oxide,2016-08-06,6
2,Nitric Oxide,2016-08-07,3
2,Nitric Oxide,2016-08-08,3
2,Nitric Oxide,2016-08-09,3
2,Nitric Oxide,2016-08-10,3
2,Nitric Oxide,2016-08-11,3
2,Nitric Oxide,2016-08-12,3
2,Nitric Oxide,2016-08-13,3
2,Nitric Oxide,2016-08-14,4
2,Nitric Oxide,2016-08-15,4
2,Nitric Oxide,2016-08-16,3
2,Nitric Oxide,2016-08-17,2
2,Nitric Oxide,2016-08-18,2
2,Nitric Oxide,2016-08-19,2
2,Nitric Oxide,2016-08-20,1
2,Nitric Oxide,2016-08-21,1
2,Nitric Oxide,2016-08-22,2
2,Nitric Oxide,2016-08-23,3
2,Nitric Oxide,2016-08-24,4
2,Nitric Oxide,2016-08-25,12
2,Nitric Oxide,2016-08-26,6
2,Nitric Oxide,2016-08-27,5
2,Nitric Oxide,2016-08-28,2
2,Nitric Oxide,2016-08-29,2
2,Nitric Oxide,2016-08-30,5
2,Nitric Oxide,2016-08-31,3
2,Nitric Oxide,2016-09-01,6
2,Nitric Oxide,2016-09-02,3
2,Nitric Oxide,2016-09-03,6
2,Nitric Oxide,2016-09-04,2
2,Nitric Oxide,2016-09-05,8
2,Nitric Oxide,2016-09-06,7
2,Nitric Oxide,2016-09-07,0
2,Nitric Oxide,2016-09-08,0
2,Nitric Oxide,2016-09-09,4
2,Nitric Oxide,2016-09-10,4
2,Nitric Oxide,2016-09-11,8
2,Nitric Oxide,2016-09-12,3
2,Nitric Oxide,2016-09-13,10
2,Nitric Oxide,2016-09-14,3
2,Nitric Oxide,2016-09-15,12
2,Nitric Oxide,2016-09-16,3
2,Nitric Oxide,2016-09-17,5
2,Nitric Oxide,2016-09-18,4
2,Nitric Oxide,2016-09-19,4
2,Nitric Oxide,2016-09-20,8
2,Nitric Oxide,2016-09-21,10
2,Nitric Oxide,2016-09-22,5
2,Nitric Oxide,2016-09-23,12
2,Nitric Oxide,2016-09-24,2
2,Nitric Oxide,2016-09-25,1
2,Nitric Oxide,2016-09-26,4
2,Nitric Oxide,2016-09-27,4
2,Nitric Oxide,2016-09-28,3
2,Nitric Oxide,2016-09-29,3
2,Nitric Oxide,2016-09-30,5
2,Nitric Oxide,2016-10-01,2
2,Nitric Oxide,2016-10-02,11
2,Nitric Oxide,2016-10-03,10
2,Nitric Oxide,2016-10-04,5
